timestamp,file,ticker,form_type,status
2026-05-10T00:40:22.569723,/home/poomk/.openclaw/workspace/investments/stocks/AAPL/10-K/AAPL_10-K_FY2025_2025-09-27.md,AAPL,10-K,injected
2026-05-10T00:40:22.569762,/home/poomk/.openclaw/workspace/investments/stocks/AAPL/index.md,AAPL,index,injected
2026-05-10T00:40:22.569770,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2022-Q1_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569775,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2022-Q2_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569781,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2022-Q3_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569785,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2022-Q4_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569790,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2023-Q1_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569795,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2023-Q2_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569800,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2023-Q3_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569805,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2023-Q4_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569809,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2023_annual-report.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569814,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2024-Q1_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569822,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2024-Q2_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569827,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2024-Q3_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569834,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2024-Q4_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569843,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2024_annual-report.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569853,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2025-Q1_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569858,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2025-Q2_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569863,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2025-Q3_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569867,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings/2025-Q4_earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569872,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/earnings-releases/2026q1-alphabet-earnings-release.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569878,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/index.md,GOOGL,index,injected
2026-05-10T00:40:22.569883,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/presentations/2025-Q1_earnings-slides.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569892,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/presentations/2025-Q2_earnings-slides.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569902,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/presentations/2025-Q3_earnings-slides.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569910,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/presentations/2025-Q4_earnings-slides.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569915,/home/poomk/.openclaw/workspace/investments/stocks/GOOGL/presentations/2026-Q1_earnings-slides.md,GOOGL,earnings-release,injected
2026-05-10T00:40:22.569920,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q1-2023_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569925,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q1-2024_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569930,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q1-2025_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569934,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q2-2023_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569939,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q2-2024_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569944,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q2-2025_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569948,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q3-2023_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569952,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q3-2024_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569956,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q3-2025_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569961,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q4-2022_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569965,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q4-2023_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569969,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q4-2024_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569974,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/6-K/6-K_Q4-2025_earnings.md,HESAI,6-K,injected
2026-05-10T00:40:22.569978,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/annual-reports/Hesai-2022-Annual-Report.md,HESAI,annual-report,injected
2026-05-10T00:40:22.569983,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/annual-reports/Hesai-2025-Annual-Report.md,HESAI,annual-report,injected
2026-05-10T00:40:22.569988,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/earnings/Hesai_Q1_2023_Earnings.md,HESAI,earnings-release,injected
2026-05-10T00:40:22.569993,/home/poomk/.openclaw/workspace/investments/stocks/HESAI/earnings/Hesai_Q1_2025_Earnings.md,HESAI,earnings-release,injected
